Interest,Engagement,Excitement,Stress,Relaxation,Focus
50.025,22.802,79.653,26.783,24.023,34.989
50.344,18.723,79.174,26.258,23.848,34.705
50.359,17.696,78.734,26.414,23.729,34.76
50.573,15.517,78.218,26.75,23.737,34.75
51.839,17.414,78.127,27.746,24.069,34.988
53.432,24.513,78.347,28.837,24.265,35.602
54.663,30.556,78.854,31.134,24.429,36.662
54.964,32.297,78.988,35.224,24.578,38.228
54.53,32.198,78.545,39.147,24.446,39.825
54.168,32.469,78.045,41.963,24.329,41.035
54.036,25.211,77.073,43.643,24.224,41.458
53.962,22.45,75.933,44.403,24.262,41.658
53.432,22.179,74.667,44.397,24.296,41.694
52.37,26.271,73.492,47.92,24.341,43.224
51.42,28.239,72.657,50.216,24.445,44.186
51.117,27.127,72.218,50.516,24.707,44.179
51.156,29.58,72.096,48.129,24.712,43.486
50.903,30.64,72.02,45.991,24.925,42.725
50.602,35.822,72.084,43.034,25.41,41.752
51.291,38.981,72.281,43.709,25.999,41.973
53.552,37.259,72.456,42.605,26.389,41.421
56.794,48.146,73.085,45.545,26.697,42.995
59.614,54.867,73.641,48.094,26.977,44.326
60.787,50.866,74.131,46.644,27.064,43.804
59.759,48.466,74.572,45.477,26.948,43.533
57.352,46.281,74.535,42.927,26.714,42.835
55.18,42.403,74.271,40.324,26.474,42.022
53.484,43.795,73.915,37.702,26.153,41.489
52.098,46.766,73.629,36.909,25.76,41.742
51.32,45.873,73.369,36.77,25.411,42.03
51.547,41.271,73.132,38.499,25.079,42.774
52.42,37.616,72.916,40.06,24.803,43.434
53.268,31.422,72.745,43.182,24.574,44.46
53.907,32.78,73.419,48.16,24.471,46.384
54.404,31.958,74.414,50.029,24.524,46.983
54.682,33.134,75.284,46.547,24.584,45.746
54.312,33.415,76.047,42.238,24.639,44.182
53.277,31.651,75.934,38.256,24.757,42.651
52.185,29.883,75.291,34.983,24.797,41.429
51.458,26.792,74.607,32.181,24.675,40.373
50.968,27.397,73.981,30.308,24.417,39.884
50.597,34.098,73.408,29.292,24.124,40.046
50.505,34.907,73.337,27.661,23.924,39.66
50.743,29.939,73.776,26.281,23.746,39.024
51.087,27.838,74.166,25.751,23.659,38.759
51.319,24.255,74.654,25.005,23.725,38.234
51.67,20.349,75.318,24.443,23.784,37.718
52.21,22.162,75.901,24.87,23.838,37.833
52.509,20.496,75.974,24.813,23.914,37.626
52.116,29.477,76.037,26.352,23.95,38.565
51.394,33.995,76.583,27.888,23.932,39.349
51.123,33.832,76.789,29.366,23.916,39.926
51.334,32.618,76.377,32.863,23.864,41.232
51.93,31.216,76.625,32.714,23.705,41.211
52.369,30.847,76.816,33.314,23.529,41.515
52.18,30.591,76.549,33.704,23.446,41.726
51.933,33.232,76.307,32.033,23.373,41.336
51.907,33.253,76.395,30.004,23.244,40.71
51.788,34.241,76.473,28.768,23.128,40.416
51.62,40.597,76.231,30.891,23.054,41.628
51.639,42.242,75.908,35.009,23.043,43.343
52.125,44.898,75.446,40.254,23.161,45.477
52.91,46.232,74.886,42.81,23.539,46.468
53.772,44.243,74.375,40.69,23.992,45.563
54.498,40.706,73.951,37.474,24.507,44.122
54.681,37.587,73.61,34.871,24.978,42.908
54.052,35.913,73.3,33.43,25.408,42.178
53.223,38.468,72.818,32.505,25.741,41.899
53.157,34.993,71.702,31.79,25.942,41.504
53.491,29.243,69.828,31.008,26.101,40.997
53.693,27.036,67.942,30.598,26.233,40.772
53.889,25.213,66.193,28.654,26.353,39.988
54.158,26.883,64.73,29.073,26.452,40.221
54.19,24.145,64.52,28.678,26.279,40.001
54.086,26.003,64.948,28.533,25.78,40.213
54.058,29.973,65.33,29.023,25.336,40.759
53.958,32.072,65.787,28.802,24.941,40.955
53.932,30.061,66.044,28.23,24.602,40.811
54.194,29.164,66.084,28.473,24.441,40.924
54.393,28.207,66.12,28.406,24.297,40.904
53.672,29.41,66.342,27.929,24.284,40.765
52.101,32.835,66.686,28.107,24.273,40.982
50.391,30.171,66.993,27.268,24.138,40.604
49.204,30.941,67.774,27.723,23.991,40.828
49.053,32.727,68.527,27.768,23.86,40.958
49.92,31.961,68.657,28,23.866,41.005
51.1,31.947,68.774,29.014,23.802,41.402
51.658,32.668,69.088,28.822,23.727,41.396
51.537,29.777,69.369,29.001,23.79,41.271
51.323,33.026,69.461,29.016,23.873,41.386
51.209,36.25,69.692,28.538,23.906,41.369
51.021,40.307,70.187,27.699,23.817,41.339
50.557,34.357,70.579,27.625,23.58,41.173
50.252,36.417,70.645,27.824,23.551,41.389
50.421,47.378,70.608,28.351,23.525,42.218
50.876,47.062,70.588,28.878,23.429,42.585
51.267,51.557,70.314,28.103,23.314,42.758
51.458,45.284,70.065,27.335,23.306,42.349
51.465,40.367,69.84,27.91,23.299,42.436
51.447,38.875,70.092,28.586,23.198,42.713
51.287,36.234,71.088,29.963,23.108,43.119
51.245,35.462,71.966,31.239,23.046,43.556
51.66,37.343,72.739,31.609,23.009,43.793
52.223,35.872,73.101,31.239,22.865,43.681
52.331,30.784,72.42,30.63,22.737,43.331
52.129,31.417,71.797,30.525,22.623,43.407
51.886,29.498,71.229,29.459,22.521,42.997
51.682,28.505,70.355,28.59,22.43,42.702
51.73,38.376,69.92,28.424,22.208,43.268
52.212,40.837,70.343,27.644,21.931,43.286
53.056,39.679,70.719,30.547,21.826,44.384
53.661,39.39,71.054,34.157,21.963,45.653
53.554,40.775,71.397,39.028,22.103,47.461
53.344,37.275,72.072,44.41,22.024,49.296
53.305,31.81,72.824,44.584,21.988,49.082
53.389,31.485,73.546,46.95,22.272,49.724
53.503,30.706,74.183,51.431,22.942,50.915
53.588,27.732,74.666,57.35,23.507,52.563
53.541,30.375,74.868,69.943,23.91,56.99
53.562,36.343,74.881,78.897,24.392,60.274
53.549,35.666,74.891,78.679,24.969,59.897
53.46,36.19,74.898,78.143,25.497,59.486
53.276,37.769,74.646,77.496,26.094,59.076
53.35,31.279,73.993,76.296,26.854,57.994
54.605,29.489,73.396,75.715,27.698,57.277
56.64,26.251,73.518,71.789,28.427,55.271
57.882,36.936,73.625,72.074,28.608,55.768
57.487,32.003,72.916,74.78,29.237,56.238
56.518,30.886,72.321,77.778,29.811,56.992
56.554,33.905,72.325,80.706,30.145,58.012
57.306,31.128,72.326,77.905,30.036,56.902
57.91,26.277,72.08,74.521,29.938,55.455
57.875,25.11,71.857,70.943,29.898,54.057
57.113,21.025,71.757,67.942,29.464,52.89
55.991,16.799,71.67,65.173,29.009,51.771
55.05,20.632,71.573,63.808,28.528,51.562
54.466,16.724,71.501,62.608,28.041,51.041
54.534,18.61,71.915,60.726,27.613,50.485
54.872,25.013,72.898,58.921,27.199,50.174
55.113,25.389,73.585,56.215,26.83,49.275
55.064,22.997,74.573,53.843,26.505,48.314
54.768,19.302,75.569,52.151,26.257,47.47
54.318,25.254,76.438,52.171,26.036,47.718
54.1,21.163,77.198,52.047,25.873,47.417
54.268,24.12,77.863,50.856,25.729,47.064
54.564,24.568,78.445,49.472,25.575,46.548
54.571,24.481,79.145,46.07,25.423,45.272
54.033,24.297,79.662,44.607,25.259,44.71
53.472,24.008,80.115,44.718,25.142,44.691
53.573,26.941,80.128,46.347,25.037,45.411
54.628,21.158,78.994,48.204,25.019,45.807
56.164,28.137,77.256,51.104,25.162,47.158
57.292,24.16,75.611,52.293,25.367,47.341
57.926,27.568,73.958,52.576,25.81,47.432
58.36,27.875,72.811,51.174,26.54,46.609
58.673,33.714,71.901,50.793,26.876,46.633
58.515,28.866,71.535,49.52,27.022,45.886
57.773,22.868,71.733,48.89,27.264,45.183
56.563,26.972,71.669,49.361,27.642,45.306
55.642,24.734,71.611,48.015,28.003,44.483
55.838,26.022,71.558,46.493,28.151,43.868
61.265,27.55,71.144,43.895,28.284,42.917
72.058,26.297,70.769,41.793,28.382,42.029
82.3,25.874,70.144,40.066,28.289,41.42
87.683,24.145,69.552,38.149,28.058,40.736
88.361,27.763,69.276,36.546,27.748,40.453
84.859,29.002,69.255,34.925,27.434,40.058
77.766,35.122,69.8,32.786,26.986,39.778
70.584,30.831,70.693,30.953,26.587,39.069
64.52,30.141,71.598,29.825,26.232,38.742
59.69,32.343,72.793,30.67,25.832,39.279
56.329,43.482,73.838,31.588,25.476,40.325
54.406,59.264,74.753,32.18,25.159,41.591
53.498,73.152,75.188,33.687,24.981,43.194
53.149,76.886,74.728,33.608,24.821,43.857
52.912,71.506,74.308,35.475,24.679,44.762
52.566,67.918,73.926,37.239,24.583,45.645
52.569,70.432,74.002,38.176,24.497,46.483
53.122,64.505,74.49,38.433,24.421,46.62
53.698,60.353,75.141,37.638,24.276,46.436
53.893,57.657,75.828,35.768,24.231,45.849
53.63,53.363,76.393,33.055,24.257,44.817
53.149,45.094,76.891,30.707,24.282,43.67
52.786,41.525,77.242,28.881,24.273,42.908
52.626,40.983,77.551,27.761,24.19,42.568
52.767,38.729,77.109,27.836,24.116,42.605
53.061,37.549,76.215,27.046,23.985,42.42
53.327,32.554,75.39,26.675,23.727,42.233
53.19,28.604,74.631,28.555,23.436,42.881
52.627,27.191,74.244,28.245,23.177,42.797
52.019,28.314,73.892,29.386,22.946,43.342
51.694,23.048,73.628,29.684,22.863,43.175
52.218,22.797,73.936,30.519,22.89,43.329
53.479,17.865,74.162,30.621,23.086,42.89
54.625,18.224,74.362,30.805,23.263,42.725
54.658,19.659,74.831,30.907,23.423,42.583
54.124,24.087,75.246,31.689,23.935,42.688
54.653,22.872,75.613,33.638,24.325,43.023
56.105,22.06,75.335,33.587,24.379,42.85
57.135,19.109,74.618,34.398,24.276,42.974
56.799,17.99,73.961,35.982,24.136,43.463
55.749,22.027,73.361,36.634,23.975,43.884
55.16,22.819,72.981,37.239,23.831,44.134
55.015,22.851,72.986,37.34,23.702,44.139
54.652,21.792,73.612,35.819,23.613,43.443
53.982,21.457,74.59,35.204,23.737,42.977
53.703,17.693,75.446,35.162,24.132,42.406
54.1,15.315,75.789,36.52,24.593,42.379
54.9,12.627,75.377,37.504,25.061,42.22
56.113,15.179,74.579,37.5,25.488,42.002
57.693,15.386,73.847,37.921,25.876,41.854
58.938,16.399,73.176,37.897,26.183,41.627
59.098,15.651,73.319,36.907,26.291,41.02
58.003,13.586,73.781,35.29,26.219,40.182
56.602,17.592,74.191,34.504,26.155,39.947
55.591,16.915,74.605,34.489,26.097,39.78
54.963,21.992,74.487,35.504,26.046,40.315
54.304,21.107,74.197,36.607,25.887,40.68
53.475,20.166,73.673,36.911,25.638,40.805
53.117,26.087,72.973,38.184,25.334,41.676
53.859,29.513,72.51,40.723,25.062,42.897
55.02,36.173,72.088,46.577,24.82,45.506
55.438,39.935,71.705,54.233,25.185,48.37
54.991,41.135,71.449,60.715,25.695,50.628
54.469,47.236,71.476,66.288,26.16,52.834
53.873,43.831,72.181,65.302,26.584,52.2
52.889,45.906,73.147,62.171,26.458,51.307
51.81,46.581,73.996,59.215,26.346,50.421
50.996,44.363,74.656,56.622,26.139,49.577
50.249,56.208,75.374,59.106,25.837,51.336
49.637,51.314,75.871,65.954,25.567,53.895
49.736,55.755,75.916,72.103,25.496,56.576
50.578,57.533,75.551,85.651,25.733,61.703
52.08,62.633,75.473,88.61,26.245,63.038
53.406,71.539,75.402,90.552,27.164,64.049
53.827,76.494,75.152,92.495,28.239,64.865
53.688,75.536,75.084,90.862,29.349,64.09
54.235,65.337,75.158,89.279,30.37,62.866
55.734,64.928,75.277,86.543,31.047,61.814
57.035,62.374,75.328,83.847,31.663,60.691
57.014,58.162,75.372,81.755,31.746,59.938
55.811,53.612,75.463,81.084,31.322,59.89
54.435,55.015,75.778,80.474,30.943,60.1
53.442,53.078,76.162,79.837,30.603,60.11
52.958,46.52,76.534,76.636,29.9,59.111
52.78,48.901,76.863,74.274,29.24,58.807
52.43,42.868,77.05,74.11,28.996,58.673
52.018,41.82,76.938,74.819,29.121,58.895
52.19,42.349,76.436,75.133,29.235,59.077
52.918,43.57,75.977,74.742,29.291,59.071
53.892,52.323,75.373,76.335,29.546,60.101
54.767,48.328,74.517,75.108,30.082,59.393
55.105,52.529,74.039,75.203,30.797,59.445
55.055,58.491,73.894,74.825,31.448,59.468
55.336,64.392,73.739,73.148,32.04,59.102
55.871,65.487,73.444,71.439,32.971,58.361
56.244,58.996,73.473,69.02,34.095,56.853
56.217,59.516,73.794,69.472,35.122,56.72
55.599,57.923,74.079,70.054,36.141,56.531
54.741,50.789,74.266,71.86,37.009,56.554
54.535,56.803,74.514,73.449,37.54,51.905
55.787,50.474,74.988,74.828,38.021,57.363
59.247,65.418,75.777,76.029,38.541,52.079
63.66,73.817,76.541,77.075,40.594,51.706
68.028,85.959,76.992,77.989,42.211,51.844
76.92,79.431,77.372,78.789,43.288,51.375
87.891,80.895,76.944,79.49,44.083,51.453
94.082,92.188,75.211,80.107,42.612,53.269
95.995,99.341,73.58,80.65,41.298,54.883
96.017,93.682,72.056,81.129,40.125,55.802
95.344,89.888,71.094,81.552,39.936,64.553
94.425,90.656,70.817,81.926,39.765,65.274
92.57,83.323,70.565,82.258,39.611,65.543
88.324,78.249,70.337,78.624,39.365,64.469
81.726,69.156,70.089,75.357,38.379,63.632
75.354,73.404,69.42,73.968,37.375,64.127
70.464,76.545,68.81,72.152,36.426,64.415
66.868,75.151,67.676,70.279,35.648,64.414
64.208,72.916,66.264,69.824,34.953,64.839
62.113,77.967,64.968,70.286,34.334,65.912
60.438,70.302,63.927,72.273,33.78,66.859
59.348,70.429,62.978,73.988,33.311,67.997
59.152,73.338,62.115,71.927,33.216,67.722
59.66,79.737,62.06,67.924,32.724,67.103
59.768,80.418,62.782,64.71,32.086,66.549
58.65,75.548,64.007,61.373,31.559,65.574
56.896,79.403,65.093,59.498,30.78,65.673
55.444,70.622,66.057,60.677,30.074,66.211
54.717,69.19,66.906,61.469,29.447,66.88
54.81,66.675,67.506,63.399,28.903,67.86
55.573,61.805,68.04,67.041,28.699,69.142
56.644,53.04,68.477,65.498,29.08,68.009
57.453,51.913,69.033,65.167,29.607,67.556
57.824,48.637,69.675,63.598,30.085,66.55
57.841,44.79,70.244,61.035,30.52,65.151
57.703,43.806,70.746,62.265,30.937,65.255
58.066,44.073,71.235,63.181,31.326,65.32
59.025,39.173,71.912,61.898,31.665,64.333
59.912,42.788,72.272,58.257,31.995,62.924
60.085,42.435,72.546,52.463,32.294,60.584
59.298,41.956,72.934,47.35,32.564,58.488
58.014,41.747,73.345,42.608,32.42,56.743
56.759,42.98,73.665,39.341,31.784,55.857
55.951,40.526,73.95,38.715,30.961,55.838
55.783,42.761,74.438,39.381,30.184,56.476
